location;year;month;day;hour;domestic;catchment;age_range;visitor_type;gender_id;number_of_unique_visits;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;Residential;Hotel and accomodation;Shoppinh;School;Cultural;Restaurant;Supermarkets;Green areas;SUM;;
Orestad City;2023;11;12;3;TRUE;2770;35-44;Resident;N;400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;45-54;Resident;F;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;45-54;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;45-54;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;55-64;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;55-64;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;55-64;Resident;N;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;65+;Resident;F;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;65+;Resident;M;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;65+;Resident;N;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;3;TRUE;2770;;Resident;N;1450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;18-24;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;18-24;Resident;M;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;18-24;Resident;N;3950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;25-34;Resident;F;3350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;25-34;Resident;M;4350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;25-34;Resident;N;6750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;35-44;Resident;F;3050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;35-44;Resident;M;3650;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;35-44;Resident;N;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;45-54;Resident;F;1650;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;45-54;Resident;M;2450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;45-54;Resident;N;2850;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;55-64;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;55-64;Resident;M;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;55-64;Resident;N;2050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;65+;Resident;F;800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;65+;Resident;M;800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;65+;Resident;N;1850;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2300;;Resident;N;15400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;18-24;Resident;F;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;18-24;Resident;N;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;25-34;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;25-34;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;25-34;Resident;N;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;35-44;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;35-44;Resident;M;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;35-44;Resident;N;400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;45-54;Resident;F;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;45-54;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;45-54;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;55-64;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;55-64;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;55-64;Resident;N;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;65+;Resident;F;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;65+;Resident;M;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;65+;Resident;N;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;4;TRUE;2770;;Resident;N;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;18-24;Resident;F;850;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;18-24;Resident;M;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;18-24;Resident;N;3950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;25-34;Resident;F;3350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;25-34;Resident;M;4350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;25-34;Resident;N;6750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;35-44;Resident;F;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;35-44;Resident;M;3650;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;35-44;Resident;N;4150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;45-54;Resident;F;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;45-54;Resident;M;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;45-54;Resident;N;2800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;55-64;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;55-64;Resident;M;1050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;55-64;Resident;N;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;65+;Resident;F;800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;65+;Resident;M;750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;65+;Resident;N;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2300;;Resident;N;15300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;18-24;Resident;F;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;18-24;Resident;N;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;25-34;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;25-34;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;25-34;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;35-44;Resident;F;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;35-44;Resident;M;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;35-44;Resident;N;400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;45-54;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;45-54;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;45-54;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;55-64;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;55-64;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;55-64;Resident;N;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;65+;Resident;F;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;65+;Resident;M;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;65+;Resident;N;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;5;TRUE;2770;;Resident;N;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;18-24;Resident;F;950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;18-24;Resident;M;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;18-24;Resident;N;3950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;25-34;Resident;F;3400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;25-34;Resident;M;4300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;25-34;Resident;N;6750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;35-44;Resident;F;3050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;35-44;Resident;M;3650;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;35-44;Resident;N;4150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;45-54;Resident;F;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;45-54;Resident;M;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;45-54;Resident;N;2800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;55-64;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;55-64;Resident;M;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;55-64;Resident;N;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;65+;Resident;F;800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;65+;Resident;M;750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;65+;Resident;N;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2300;;Resident;N;15200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;18-24;Resident;F;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;18-24;Resident;N;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;25-34;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;25-34;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;25-34;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;35-44;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;35-44;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;35-44;Resident;N;400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;45-54;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;45-54;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;45-54;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;55-64;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;55-64;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;55-64;Resident;N;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;65+;Resident;F;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;65+;Resident;M;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;65+;Resident;N;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;6;TRUE;2770;;Resident;N;1450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;18-24;Resident;F;950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;18-24;Resident;M;550;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;18-24;Resident;N;3950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;25-34;Resident;F;3250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;25-34;Resident;M;4300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;25-34;Resident;N;6700;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;35-44;Resident;F;2950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;35-44;Resident;M;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;35-44;Resident;N;4150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;45-54;Resident;F;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;45-54;Resident;M;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;45-54;Resident;N;2850;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;55-64;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;55-64;Resident;M;1150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;55-64;Resident;N;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;65+;Resident;F;850;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;65+;Resident;M;750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;65+;Resident;N;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2300;;Resident;N;15250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;18-24;Resident;F;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;18-24;Resident;N;550;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;25-34;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;25-34;Resident;M;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;25-34;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;35-44;Resident;F;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;35-44;Resident;M;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;35-44;Resident;N;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;45-54;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;45-54;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;45-54;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;55-64;Resident;F;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;55-64;Resident;M;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;55-64;Resident;N;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;65+;Resident;F;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;65+;Resident;M;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;65+;Resident;N;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;7;TRUE;2770;;Resident;N;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;18-24;Resident;F;950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;18-24;Resident;M;650;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;18-24;Resident;N;3950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;25-34;Resident;F;3150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;25-34;Resident;M;4250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;25-34;Resident;N;6800;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;35-44;Resident;F;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;35-44;Resident;M;3500;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;35-44;Resident;N;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;45-54;Resident;F;1650;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;45-54;Resident;M;2300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;45-54;Resident;N;2850;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;55-64;Resident;F;950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;55-64;Resident;M;1050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;55-64;Resident;N;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;65+;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;65+;Resident;M;750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;65+;Resident;N;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2300;;Resident;N;15300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;18-24;Resident;F;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;18-24;Resident;N;550;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;25-34;Resident;F;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;25-34;Resident;M;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;25-34;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;35-44;Resident;F;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;35-44;Resident;M;300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;35-44;Resident;N;450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;45-54;Resident;F;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;45-54;Resident;M;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;45-54;Resident;N;350;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;55-64;Resident;F;250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;55-64;Resident;M;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;55-64;Resident;N;150;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;65+;Resident;F;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;65+;Resident;M;100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;65+;Resident;N;200;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;8;TRUE;2770;;Resident;N;1450;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;18-24;Resident;F;750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;18-24;Resident;M;700;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;18-24;Resident;N;3950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;25-34;Resident;F;3250;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;25-34;Resident;M;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;25-34;Resident;N;6750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;35-44;Resident;F;2950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;35-44;Resident;M;3500;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;35-44;Resident;N;4050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;45-54;Resident;F;1550;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;45-54;Resident;M;2300;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;45-54;Resident;N;2950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;55-64;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;55-64;Resident;M;1050;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;55-64;Resident;N;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;65+;Resident;F;900;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
Orestad City;2023;11;12;9;TRUE;2300;65+;Resident;M;750;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
